,WindowSize,EmbedDimen,VocabSize,SeqLen,NegativeSample,TrainingDataSize,AccuracyTrain,LossTrain,AccuracyTest,LossTest,RunTime
0,2,16,1842,10,4,34664,0.5611617565155029,1.1864631175994873,0.4046224057674408,1.4114155769348145,1
1,2,64,1842,10,4,34851,0.8419415354728699,0.7061172723770142,0.400390625,1.4664788246154785,4
2,2,128,1842,10,4,34702,0.9466145634651184,0.3987734317779541,0.3929036557674408,1.5510095357894897,3
3,2,256,1842,10,4,34498,0.9764122366905212,0.21866324543952942,0.3937174379825592,1.653027892112732,6
4,2,512,1842,10,4,34752,0.9837962985038757,0.1320526897907257,0.4031575620174408,1.7652212381362915,10
5,3,16,1842,10,4,44701,0.5416762232780457,1.2021266222000122,0.390869140625,1.4258661270141602,2
6,3,64,1842,10,4,44175,0.838263988494873,0.6906828880310059,0.3785400390625,1.5207480192184448,3
7,3,128,1842,10,4,44777,0.9399988651275635,0.39686474204063416,0.3907470703125,1.5895932912826538,5
8,3,256,1842,10,4,44719,0.970588207244873,0.21959622204303741,0.380859375,1.736957311630249,7
9,3,512,1842,10,4,45527,0.9780412912368774,0.1391763985157013,0.3865966796875,1.855269432067871,490
10,4,16,1842,10,4,49377,0.5327919125556946,1.215291976928711,0.3795572817325592,1.4443249702453613,2
11,4,64,1842,10,4,49044,0.8330591917037964,0.6929566264152527,0.3694661557674408,1.5095078945159912,4
12,4,128,1842,10,4,50202,0.9370993375778198,0.39295804500579834,0.3786892294883728,1.6238170862197876,5
13,4,256,1842,10,4,49424,0.9681075215339661,0.22088688611984253,0.3756510317325592,1.7880884408950806,8
14,4,512,1842,10,4,49378,0.9751747250556946,0.14274577796459198,0.3666449785232544,1.9623448848724365,14
15,5,16,1842,10,4,52236,0.528881847858429,1.2117067575454712,0.3837890625,1.4374284744262695,2
16,5,64,1842,10,4,51809,0.8318115472793579,0.6909366846084595,0.3760742247104645,1.5225242376327515,1017
17,5,128,1842,10,4,51480,0.933349609375,0.3937670588493347,0.37578123807907104,1.6278934478759766,6
18,5,256,1842,10,4,52023,0.9671386480331421,0.2202083170413971,0.3790039122104645,1.7744067907333374,9
